level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3890727,4343836,6650,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,16:11:00,2018-04-20,16:10:00,Fri
3890762,4343871,6668,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,19:54:00,2018-04-20,19:53:00,Fri
3891316,4344469,6324,7.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,09:42:00,2018-04-20,09:41:00,Fri
3891878,4345069,6314,5.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,08:01:00,2018-04-20,08:00:00,Fri
3893587,4346854,6672,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,21:23:00,2018-04-20,21:22:00,Fri
3893617,4346884,6644,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,14:27:00,2018-04-20,14:26:00,Fri
3893716,4346983,6628,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,10:25:00,2018-04-20,10:24:00,Fri
3893833,4347104,6610,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,07:18:00,2018-04-20,07:17:00,Fri
3894154,4347432,6674,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,21:56:00,2018-04-20,21:55:00,Fri
3894239,4347525,6620,10.0,South Orange,140.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-20,08:55:00,2018-04-20,08:55:00,Fri
3894402,4347692,6616,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2018-04-20,08:26:00,2018-04-20,08:29:00,Fri
3894521,4347847,6944,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-22,00:39:00,2018-04-22,00:38:00,Sun
3894708,4348034,6928,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,16:39:00,2018-04-21,16:38:00,Sat
3894803,4348129,6910,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,11.0,estimated,Morristown Line,NJ Transit,2018-04-21,07:39:00,2018-04-21,07:50:00,Sat
3894861,4348193,6926,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,15:39:00,2018-04-21,15:38:00,Sat
3894957,4348295,6942,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-04-21,23:39:00,2018-04-21,23:43:00,Sat
3895219,4348575,6920,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-21,12:40:00,2018-04-21,12:39:00,Sat
