index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2199933,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,11:52:00,2019-05-07,11:51:00,Tue
2202928,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,06:46:00,2019-05-07,06:45:00,Tue
2203342,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,19:03:00,2019-05-07,18:59:00,Tue
2203483,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,13:42:00,2019-05-07,13:41:00,Tue
2203628,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,06:04:00,2019-05-07,06:03:00,Tue
2203871,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,17:10:00,2019-05-07,17:09:00,Tue
2204056,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,21:00:00,2019-05-07,20:59:00,Tue
2204427,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,23:16:00,2019-05-07,23:16:00,Tue
2204586,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,11.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,08:59:00,2019-05-07,09:10:00,Tue
2204646,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,10:56:00,2019-05-07,10:56:00,Tue
2207160,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,14:49:00,2019-05-07,14:48:00,Tue
2207240,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,05:32:00,2019-05-07,05:31:00,Tue
2207762,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,12:44:00,2019-05-07,12:43:00,Tue
2207987,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,07:40:00,2019-05-07,07:39:00,Tue
2208086,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,17:57:00,2019-05-07,17:56:00,Tue
2208336,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,20:16:00,2019-05-07,20:21:00,Tue
2208428,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,14:49:00,2019-05-08,14:52:00,Wed
2208443,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-08,05:32:00,2019-05-08,05:31:00,Wed
