level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1160613,1322439,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Raritan Valley,NJ Transit,2019-12-19,11:10:00,2019-12-19,11:15:00,Thu
1161137,1322982,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-19,21:13:00,2019-12-19,21:14:00,Thu
1161471,1323360,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-19,22:10:00,2019-12-19,22:11:00,Thu
1164173,1326457,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-19,10:09:00,2019-12-19,10:10:00,Thu
1165007,1327419,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-19,13:12:00,2019-12-19,13:11:00,Thu
1165441,1327962,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-19,12:12:00,2019-12-19,12:11:00,Thu
1165692,1328267,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-19,20:02:00,2019-12-19,20:01:00,Thu
1168300,1331143,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,20:02:00,2019-12-20,20:02:00,Fri
1168676,1331557,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,12:12:00,2019-12-20,12:11:00,Fri
1169459,1332453,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Raritan Valley,NJ Transit,2019-12-20,13:12:00,2019-12-20,13:16:00,Fri
1170072,1333163,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,10:09:00,2019-12-20,10:08:00,Fri
1172962,1336337,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,22:10:00,2019-12-20,22:09:00,Fri
1173759,1337202,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,21:13:00,2019-12-20,21:12:00,Fri
1173892,1337338,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,11:10:00,2019-12-20,11:09:00,Fri
1174799,1338276,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-20,14:13:00,2019-12-20,14:12:00,Fri
1185965,1350458,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,14:13:00,2019-12-23,14:12:00,Mon
1186360,1350869,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,11:10:00,2019-12-23,11:09:00,Mon
1187458,1352023,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,21:13:00,2019-12-23,21:12:00,Mon
1187785,1352371,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,22:10:00,2019-12-23,22:09:00,Mon
1190127,1355014,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,10:09:00,2019-12-23,10:08:00,Mon
1191741,1356828,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,13:12:00,2019-12-23,13:11:00,Mon
1191826,1356913,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,20:02:00,2019-12-23,20:01:00,Mon
1192190,1357334,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-23,12:12:00,2019-12-23,12:11:00,Mon
1194358,1359816,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-24,21:13:00,2019-12-24,21:12:00,Tue
1195084,1360618,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-24,22:10:00,2019-12-24,22:09:00,Tue
1195674,1361228,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-24,14:13:00,2019-12-24,14:12:00,Tue
1196494,1362132,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-24,11:10:00,2019-12-24,11:09:00,Tue
1198437,1364309,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-24,13:12:00,2019-12-24,13:11:00,Tue
